Number,Description,File_name,foodPic,ID,Location,Zipcode,Restaurant_Name,Offer_Delivery,Phone,Price,EatStreetAPIKey,Type_of_meal,Genre,Class,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,,,,,,
11,Beignet,Beignet.jpg,Beignet/Beignet.jpg,11,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$4.00 ,,"Breakfast, Dessert","Breakfast, Dessert, French","Breakfast, Dessert, Bakery",sweet,bread,beignet,donut,powdered sugar,,,,,,,,,,,
12,Brie_Cinnamon_Apples_and_Bacon_Crepe,Brie_Cinnamon_Apples_and_Bacon_Crepe.jpg,Beignet/Brie_Cinnamon_Apples_and_Bacon_Crepe.jpg,12,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$10.25 ,,"Breakfast, Dessert","Breakfast, Dessert, French","Breakfast, Dessert",sweet,bread,crepes,pancakes,brie,cinnamon apples,bacon,,,,,,,,,
13,Cajun_Beignet,Cajun_Beignet.jpg,Beignet/Cajun_Beignet.jpg,13,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$6.00 ,,Breakfast,"Breakfast, French, Cajun","Breakfast, Bread",sweet,bread,beignet,spicy,cajun,chicken,,,,,,,,,,
14,Chocolate_and_Bavarian_Cream_Beignet,Chocolate_and_Bavarian_Cream_Beignet.jpg,Beignet/Chocolate_and_Bavarian_Cream_Beignet.jpg,14,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$4.00 ,,"Breakfast, Dessert","Breakfast, Dessert, French","Breakfast, Dessert, Bakery",sweet,bread,beignet,donut,chocolate,bavarian cream,powdered sugar,,,,,,,,,
15,Crawfish_Scampi_Po_Boy_Sandwich,Crawfish_Scampi_Po_Boy_Sandwich.jpg,Beignet/Crawfish_Scampi_Po_Boy_Sandwich.jpg,15,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$9.95 ,,Lunch,American,Sandwich,lettuce,tomatoes,shrimp,bread,Remoulade,provolone,sweet potato fries,,,,,,,,,
16,Crusty_Crab_Beignet,Crusty_Crab_Beignet.jpg,Beignet/Crusty_Crab_Beignet.jpg,16,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$6.00 ,,Lunch,American,"Breakfast, Bread",crab,bread,beignet,bacon,goat cheese,,,,,,,,,,,
17,Daddy_Duke_Po_Boy_Sandwich,Daddy_Duke_Po_Boy_Sandwich.jpg,Beignet/Daddy_Duke_Po_Boy_Sandwich.jpg,17,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$8.50 ,,Lunch,American,Sandwich,lettuce,tomatoes,sausage,bread,Remoulade,provolone,cajun,butter,pork,,,,,,,
18,Fried_Shrimp_Po_Boy_Sandwich,Fried_Shrimp_Po_Boy_Sandwich.jpg,Beignet/Fried_Shrimp_Po_Boy_Sandwich.jpg,18,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$8.50 ,,Lunch,American,Sandwich,lettuce,tomatoes,shrimp,bread,Remoulade,provolone,fried,,,,,,,,,
19,Fried_Shrimp_Po_Boy_Sandwich1,Fried_Shrimp_Po_Boy_Sandwich1.jpg,Beignet/Fried_Shrimp_Po_Boy_Sandwich1.jpg,19,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$8.50 ,,Lunch,American,Sandwich,lettuce,tomatoes,shrimp,bread,Remoulade,provolone,fried,,,,,,,,,
20,Jambalaya,Jambalaya.jpg,Beignet/Jambalaya.jpg,20,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$9.94 ,,Lunch,Cajun,Dessert,rice,chicken,tomatoes,shrimp,sausage,celery,,,,,,,,,,
21,Kitchen_Sink_Po_Boy_Sandwich,Kitchen_Sink_Po_Boy_Sandwich.jpg,Beignet/Kitchen_Sink_Po_Boy_Sandwich.jpg,21,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$15.95 ,,Lunch,Cajun,Sandwich,lettuce,tomatoes,shrimp,bread,Remoulade,provolone,sausage,crawfish,catfish,,,,,,,
22,Lemon_and_Raspberry_Beignet,Lemon_and_Raspberry_Beignet.jpg,Beignet/Lemon_and_Raspberry_Beignet.jpg,22,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$4.00 ,,"Breakfast, Dessert","Breakfast, Dessert, French","Breakfast, Dessert, Bakery",sweet,bread,beignet,donut,lemons,raspberries,powdered sugar,,,,,,,,,
23,Mr._Bacon_Beignet,Mr._Bacon_Beignet.jpg,Beignet/Mr._Bacon_Beignet.jpg,23,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$6.00 ,,"Breakfast, Lunch","French, Cajun","Breakfast, Bread",bacon,bread,beignet,eggs,cheddar,gouda,cajun,,,,,,,,,
24,Nutella_and_Banana_Beignet,Nutella_and_Banana_Beignet.jpg,Beignet/Nutella_and_Banana_Beignet.jpg,24,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$4.00 ,,"Breakfast, Dessert","Breakfast, Dessert, French","Breakfast, Dessert, Bakery",sweet,bread,beignet,donut,powdered sugar,nutella,bananas,,,,,,,,,
25,Peaches_and_Brie_Bacon_Beignet,Peaches_and_Brie_Bacon_Beignet.jpg,Beignet/Peaches_and_Brie_Bacon_Beignet.jpg,25,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$6.00 ,,"Breakfast, Dessert","Breakfast, Dessert, French","Breakfast, Dessert, Bakery",sweet,bread,beignet,donut,peaches,brie,powdered sugar,,,,,,,,,
26,Pork_Boudin,Pork_Boudin.jpg,Beignet/Pork_Boudin.jpg,26,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$9.50 ,,Lunch,"French, Cajun",Appetizer,bread,Remoulade,pork,,,,,,,,,,,,,
27,Raspberry_Rhubarb_Cheesecake_Beignet_,Raspberry_Rhubarb_Cheesecake_Beignet_.jpg,Beignet/Raspberry_Rhubarb_Cheesecake_Beignet_.jpg,27,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$4.00 ,,"Breakfast, Dessert","Breakfast, Dessert, French","Breakfast, Dessert, Bakery",sweet,bread,beignet,donut,powdered sugar,raspberries,rhubarbs,cheesecake,,,,,,,,
28,Seasalt_Caramel_and_Banana_Beignet,Seasalt_Caramel_and_Banana_Beignet.jpg,Beignet/Seasalt_Caramel_and_Banana_Beignet.jpg,28,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$4.00 ,,"Breakfast, Dessert","Breakfast, Dessert, French","Breakfast, Dessert, Bakery",sweet,bread,beignet,donut,powdered sugar,caramel,bananas,,,,,,,,,
29,Shrimp_Scampi_Grits,Shrimp_Scampi_Grits.jpg,Beignet/Shrimp_Scampi_Grits.jpg,29,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$9.50 ,,"Breakfast, lunch","Breakfast, Cajun",Breakfast,shrimp,grits,cajun,butter,,,,,,,,,,,,
30,Signature_7_cheese_Macaroni,Signature_7_cheese_Macaroni.jpg,Beignet/Signature_7_cheese_Macaroni.jpg,30,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$9.95 ,,Lunch,Italian,Pasta,noodles,cheese,cream,mac and cheese,,,,,,,,,,,,
31,Veg_Head_Crepe,Veg_Head_Crepe.jpg,Beignet/Veg_Head_Crepe.jpg,31,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$9.95 ,,Lunch,French,substitute Meats,tofu,spinach,artichokes,tomatoes,honey,goat cheese,crepe,bread,,,,,,,,
32,Waldorf_Beignet,Waldorf_Beignet.jpg,Beignet/Waldorf_Beignet.jpg,32,"307 Main St, Kansas City, MO 64105",Beignet,0,0,8164720777,$6.00 ,,"breakfast, lunch",French,bread,savory,sweet,beignet,chicken,cinnamon apples,blue cheese,pecans,,,,,,,,,
33,Homemade Tiramisu,,http://ot-foodspotting-production.s3.amazonaws.com/reviews/1257409/thumb_275.jpg?1327690030,33,"6229 Brookside Blvd, Kansas City, MO 64113",Bella _Napoli,0,0,8164445041,$6.00 ,,Dessert,Dessert,Dessert,tiramisu,sweet,cream,whipped cream,chocolate,espresso,,,,,,,,,,
34,Crispy Tofu With Spicy Awesome Sauce,,http://ot-foodspotting-production.s3.amazonaws.com/reviews/3275695/thumb_275.jpg?1363283633,34,"1803 W 39th St, Kansas City, MO 64111",Blue_Koi,0,0,8165615003,$7.00 ,,Lunch,Asian,Substitute Meats,tofu,snap peas,sauce,,,,,,,,,,,,,
35,Seafood Noodle Soup,,http://ot-foodspotting-production.s3.amazonaws.com/reviews/3275932/thumb_275.jpg?1363288173,35,"1803 W 39th St, Kansas City, MO 64111",Blue_Koi,0,0,8165615003,$14.00 ,,Lunch,Asian,Soup,shrimp,scallops,noodles,broth,spinach,,,,,,,,,,,
36,Ethiopian Sampler Platter,,http://ot-foodspotting-production.s3.amazonaws.com/reviews/50265/thumb_275.jpg?1273939532,36,"20 E 5th St, Kansas City, MO 64106",Blue_Nile_Cafe,0,0,8162830990,$33.95 ,,Lunch,African,Meats,collard greens,ginger,lentils,vegetables,peas,carrots,chicken,beef,chili,lamb,,,,,,
37,Crab Rangoon,,http://ot-foodspotting-production.s3.amazonaws.com/reviews/100015/thumb_275.jpg?1282354272,37,"4701 Jefferson St, Kansas City, MO 64112",Bo_Ling_s,0,0,8167531718,$4.00 ,,Lunch,Asian,Appetizer,Fried,Cream Cheese,Sweet and sour,,,,,,,,,,,,,
38,Bang Bang Shrimp,,http://ot-foodspotting-production.s3.amazonaws.com/reviews/4612212/thumb_275.jpg?1397055288,38,"5021 W 135th St, Leawood, KS 66224",Bonefish_Grill,0,0,9132398856,$10.70 ,,Lunch,American,Seafood,shrimp,cheese,jalopenos,lettuce,spicy,,,,,,,,,,,
39,Tres Tacos,,http://ot-foodspotting-production.s3.amazonaws.com/reviews/1782254/thumb_275.jpg?1337880919,39,"1150 Minnesota Ave, Kansas City, KS 66102",Bonito_Michoacan,0,0,9133710326,$4.50 ,,Lunch,Mexican,Taco,onions,beef,tortillas,cilantro,peppers,,,,,,,,,,,
40,12oz Skirt Steak,12oz_Skirt_Steak.jpg,Brady_s_Public_House/12oz_Skirt_Steak.jpg,40,"5424 Troost Ave, Kansas City, MO 64110",Brady_s_Public_House,0,0,8164379400,$18.00 ,,Lunch,American,Meats,steak,beef,fries,ketchup,peppercorn sauce,savory,,,,,,,,,,
41,Bacon Deviled Eggs,Bacon_Deviled_Eggs.jpg,Brady_s_Public_House/Bacon_Deviled_Eggs.jpg,41,"5424 Troost Ave, Kansas City, MO 64110",Brady_s_Public_House,0,0,8164379400,$6.00 ,,Lunch,American,Appetizer,eggs,deviled eggs,mustard,bacon,pickles,,,,,,,,,,,
42,Baked Rack of Lamb,Baked_Rack_of_Lamb.jpg,Brady_s_Public_House/Baked_Rack_of_Lamb.jpg,42,"5424 Troost Ave, Kansas City, MO 64110",Brady_s_Public_House,0,0,8164379400,$25.00 ,,Lunch,American,Meats,herbs,mint sauce,mashed potatoes,lamb,savory,,,,,,,,,,,
43,Baked Rack of Lamb,Baked_Rack_of_Lamb1.jpg,Brady_s_Public_House/Baked_Rack_of_Lamb1.jpg,43,"5424 Troost Ave, Kansas City, MO 64110",Brady_s_Public_House,0,0,8164379400,$25.00 ,,Lunch,American,Meats,herbs,mint sauce,mashed potatoes,lamb,savory,,,,,,,,,,,
44,Banana Foster French Toast,Banana_Foster_French_Toast.jpg,Brady_s_Public_House/Banana_Foster_French_Toast.jpg,44,"5424 Troost Ave, Kansas City, MO 64110",Brady_s_Public_House,0,0,8164379400,$12.00 ,,Breakfast,Breakfast,Breakfast,brioche,bread,bananas,banana sauce,powdered sugar,sweet,,,,,,,,,,
45,Banoffee Pie,Banoffee_Pie.jpg,Brady_s_Public_House/Banoffee_Pie.jpg,45,"5424 Troost Ave, Kansas City, MO 64110",Brady_s_Public_House,0,0,8164379400,$7.00 ,,Dessert,Dessert,Dessert,pie,toffee,bananas,cream,almonds,chocolate,sauce,whipped cream,sweet,,,,,,,
46,Black and Blue Burger,Black_and_Blue_Burger.jpg,Brady_s_Public_House/Black_and_Blue_Burger.jpg,46,"5424 Troost Ave, Kansas City, MO 64110",Brady_s_Public_House,0,0,8164379400,$13.00 ,,Lunch,American,Burger,bread,beef,buns,lettuce,tomatoes,pickles,fries,blue cheese,cajun,spices,,,,,,
47,Brady's Cinnamon Apple Bread Pudding,Brady_s_Cinnamon_Apple_Bread_Pudding.jpg,Brady_s_Public_House/Brady_s_Cinnamon_Apple_Bread_Pudding.jpg,47,"5424 Troost Ave, Kansas City, MO 64110",Brady_s_Public_House,0,0,8164379400,$7.00 ,,Dessert,Dessert,Dessert,pudding,bread pudding,bailey's cream,cream,sweet,,,,,,,,,,,
48,Corn Beef Hash,Corn_Beef_Hash.jpg,Brady_s_Public_House/Corn_Beef_Hash.jpg,48,"5424 Troost Ave, Kansas City, MO 64110",Brady_s_Public_House,0,0,8164379400,$12.00 ,,Breakfast,English,Breakfast,corn beef,potatoes,onions,eggs,toast,bread,,,,,,,,,,
49,Crab Cake Salad,Crab_Cake_Salad.jpg,Brady_s_Public_House/Crab_Cake_Salad.jpg,49,"5424 Troost Ave, Kansas City, MO 64110",Brady_s_Public_House,0,0,8164379400,$13.00 ,,Lunch,American,Salad,crab,tartar sauce,peppers,lettuce,tomatoes,lemons,,,,,,,,,,
50,Crab Cakes,Crab_Cakes.jpg,Brady_s_Public_House/Crab_Cakes.jpg,50,"5424 Troost Ave, Kansas City, MO 64110",Brady_s_Public_House,0,0,8164379400,$12.00 ,,Lunch,American,Appetizer,crab,tartar sauce,,,,,,,,,,,,,,
