Number,Description,File_name,foodPic,ID,Location,Zipcode,Restaurant_Name,Offer_Delivery,Phone,Price,EatStreetAPIKey,Dietary,Type_of_meal,Genre,Class1,Class2,Class3,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26,Item27,Item28,Item29,Item30,Item31,Item32,Item33,Item34,Item35,Item36,Item37,Item38,Item39
11,365_Aged_Hanger_Steak,365_Aged_Hanger_Steak1.jpg,The_Farmhouse/365_Aged_Hanger_Steak1.jpg,11,"4686 Broadway St Kansas City, MO 64112",64105,The_Farmhouse,0,8165696032,,,Meat,lunch,,,,,blue,cheese,hanger,steak,house,fries,cut,verde,butter,buttered,salsa,aged,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,39th_Street_Pizza,39th_Street_Pizza.jpg,Artego_Pizza/39th_Street_Pizza.jpg,12,"900 W 39th St, Kansas City, MO 64111",64111,Artego_Pizza,0,8169604787,,,meat,lunch,italian,pizza,,,cheese,sausage,beef,bell,pepper,39th,mushrooms,street,green,pepperoni,th,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,39th_Street_Taco,39th_Street_Taco1.jpg,TiKiTaco/39th_Street_Taco1.jpg,13,"1710 W 39th St, Kansas City, MO 64111",64111,TiKiTaco,0,8164893686,,,Meat,lunch,,,,,asada,pork,street,onion,shredded,pastor,39th,al,carne,cilantro,th,taco,chicken,or,,,,,,,,,,,,,,,,,,,,,,,,,
14,39th_Street_Taco,39th_Street_Taco2.jpg,TiKiTaco/39th_Street_Taco2.jpg,14,"1710 W 39th St, Kansas City, MO 64111",64111,TiKiTaco,0,8164893686,,,Meat,lunch,,,,,asada,pork,street,onion,shredded,pastor,39th,al,carne,cilantro,th,taco,chicken,or,,,,,,,,,,,,,,,,,,,,,,,,,
15,39th_Street_Taco,39th_Street_Taco3.jpg,TiKiTaco/39th_Street_Taco3.jpg,15,"1710 W 39th St, Kansas City, MO 64111",64111,TiKiTaco,0,8164893686,,,Meat,lunch,,,,,asada,pork,street,onion,shredded,pastor,39th,al,carne,cilantro,th,taco,chicken,or,,,,,,,,,,,,,,,,,,,,,,,,,
16,4_Chicken_Tacos,4_Chicken_Tacos.jpg,The_Drunken_Worm/4_Chicken_Tacos.jpg,16,"1405 W 39th St, Kansas City, MO 64111",64111,The_Drunken_Worm,0,8163267209,,,Meat,dinner,,,,,dessert,chicken,tacos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,8_Hour_Corned_Beef_Hash,8_Hour_Corned_Beef_Hash.jpg,Beer_Kitchen/8_Hour_Corned_Beef_Hash.jpg,17,"435 Westport Rd, Kansas City, MO 64111",64111,Beer_Kitchen,0,8163894180,,,meat,breakfast,breakfast,breakfast,,,hash,hour,beef,egg,vegetables,rye,corned,eggs,jus,braised,fried,root,toasted,,,,,,,,,,,,,,,,,,,,,,,,,,
18,8_hour_Corned_Beef_Hash,8_hour_Corned_Beef_Hash1.jpg,Beer_Kitchen/8_hour_Corned_Beef_Hash1.jpg,18,"435 Westport Rd, Kansas City, MO 64111",64111,Beer_Kitchen,0,8163894180,,,meat,breakfast,breakfast,breakfast,,,hash,hour,beef,egg,vegetables,rye,corned,eggs,jus,braised,fried,root,toasted,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Adrak_Ke_Panje,Adrak_Ke_Panje.jpg,Kulture_Kurry/Adrak_Ke_Panje.jpg,19,"9940 College Blvd Overland Park KS, 66210",66210,Kulture_Kurry,1,9133399511,$20.00,9563726,Meat,Dinner,Indian,Meats,,,lamb,ke,parsley,ginger,adrak,panje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Agedashi_Tofu,Agedashi_Tofu.jpg,Friends_Sushi_and_Bento_Place/Agedashi_Tofu.jpg,20,"1808 W 39th St, Kansas City, MO 64111",64111,Friends_Sushi_and_Bento_Place,0,8167536666,,,,,,,,,healthy,fish,tofu,diet,agedashi,soy,sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Ahi_Crunchy_Salad,Ahi_Crunchy_Salad.jpg,Yard_House/Ahi_Crunchy_Salad.jpg,22,"1300 Main St Ste 124.1A, Kansas City, MO 64105",64105,Yard_House,0,8165270952,,,,,,,,,ahi,salad,greens,healthy,fish,crunchy,sesame,lettuce,seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Ahi_Poke_Tuna_Taco,Ahi_Poke_Tuna_Taco.jpg,KC_Taco_Company/Ahi_Poke_Tuna_Taco.jpg,21,"520 Walnut St, Kansas City, MO 64106",64106,KC_Taco_Company,0,8162145390,$11.95,,Meat,Dinner,Mexican,Taco,,,poke,sauce,fish,ahi,ginger,sesame,taco,soy,tuna,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Ahi_Tuna_Tacos,Ahi_Tuna_Tacos.jpg,Cooper_s_Hawk/Ahi_Tuna_Tacos.jpg,23,"4686 Broadway St Kansas City, MO 64112",64112,Cooper_s_Hawk,0,8165311500,,,,,,,,,fish,ahi,avocado,tacos,lettuce,tuna,sauce,cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Akaushi_Burger,Akaushi_Burger.jpg,Unforked/Akaushi_Burger.jpg,24,"2450 Grand Blvd, Kansas City, MO 64108",64108,Unforked,0,8162833675,,,,,,,,,cheese,bacon,burger,bun,artisan,akaushi,greasy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Alambre_Sandwich,Alambre_Sandwich.jpg,The_Bite/Alambre_Sandwich.jpg,25,"23 E 3rd St, Kansas City, MO 64106",64106,The_Bite,0,8165036059,$9.00,,meat,lunch,american,sandwich,,,cheese,cilantro,sandwich,beef,jalapeno,alambre,ribs,peppers,grilled,bread,onions,sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Alaskin_King_Crab,Alaskin_King_Crab.jpg,McCormick_and_Schmick_s_Seafood_and_Steaks/Alaskin_King_Crab.jpg,26,"448 W 47th St, Kansas City, MO 64112",64112,McCormick_and_Schmick_s_Seafood_and_Steaks,0,8165316800,,,meat,dinner,,,,,alaskin,king,steamed,alaskan,buttered,early,butter,crab,drawn,dawn,legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,All_American_Burger,All_American_Burger.jpg,Fric_and_Frac/All_American_Burger.jpg,27,"1700 W 39th St, Kansas City, MO 64111",64111,Fric_and_Frac,0,8167536102,,,,,,,,,heavy,fatty,beef,burger,american,greasy,meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,All_Meats_Slice,All_Meats_Slice.jpg,Joe_s_Pizza_Buy_the_Slice/All_Meats_Slice.jpg,28,"4058 Pennsylvania Ave, Kansas City, MO 64111",64111,Joe_s_Pizza_Buy_the_Slice,0,8169312777,,,,,,,,,slice,meats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Alligator_Roll,Alligator_Roll.jpg,Domo/Alligator_Roll.jpg,29,"6322 Brookside Plaza, Kansas City, MO 64113",64113,Domo,0,8163336315,,,,sushi,,,,,topping,alligator,roll,avocado,roe,sticky,seaweed,soy,rice,sauce,rolls,panko,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Almond_and_Nutella_Beignet,Almond_and_Nutella_Beignet.jpg,Beignet/Almond_and_Nutella_Beignet.jpg,30,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$4.00,,Vegetarian,Dessert,French,Dessert,,,,sweet,almond,nutella,beignet,donut,almonds,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Almond_Chicken,Almond_Chicken.jpg,China_Feast/Almond_Chicken.jpg,31,"200 Linwood Blvd, Kansas City, MO 64111",64111,China_Feast,0,8165618886,,,,,,,,,spicy,onion,almond,paprika,almonds,garlic,chicken,rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Almond_Croissant,Almond_Croissant.jpg,Bloom_Baking_Company/Almond_Croissant.jpg,32,"15 E 3rd St, Kansas City, MO 64106",64106,Bloom_Baking_Company,0,8162838437,,,,,,,,,healthy,croissant,almond,nuts,almonds,savory,breakfast,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Altwiener_Tafelspitz,Altwiener_Tafelspitz.jpg,Grunauer/Altwiener_Tafelspitz.jpg,33,"101 W 22nd St, Kansas City, MO 64108",64108,Grunauer,0,8162833234,,,Meat,dinner,,,,,consomme,chives,slice,tafelspitz,beef,spinach,altwiener,vegetables,horseradish,chive,sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,American_Kobe_Burger,American_Kobe_Burger.jpg,Beer_Kitchen/American_Kobe_Burger.jpg,34,"435 Westport Rd, Kansas City, MO 64111",64111,Beer_Kitchen,0,8163894180,,,meat,lunch,american,burger,,,cheese,greens,onion,beef,burger,shitake,mushrooms,brioche,american,jam,bun,croquette,kobe,goat,red,,,,,,,,,,,,,,,,,,,,,,,,
35,Angus_Corned_Beef_Reuben,Angus_Corned_Beef_Reuben.jpg,Schlotzsky_s/Angus_Corned_Beef_Reuben.jpg,35,"12221 S Strangline Rd Olathe KS, 66062",66062,Schlotzsky_s,1,9137822867,$5.50,11100365,Meat,lunch,American,Sandwich,,,cheese,rye,mustard,beef,angus,corn,dijon,reuben,corned,buns,bun,slaw,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Angus_Pastrami_and_Swiss_Sandwich,Angus_Pastrami_and_Swiss_Sandwich.jpg,Schlotzsky_s/Angus_Pastrami_and_Swiss_Sandwich.jpg,36,"12221 S Strangline Rd Olathe KS, 66062",66062,Schlotzsky_s,1,9137822867,$5.50,11100359,Meat,Lunch,American,Sandwich,,,,rye,pastrami,beef,angus,dijon,buns,sandwich,bun,swiss,mustard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Angus_Roast_Beef_and_Cheese_Sandwich,Angus_Roast_Beef_and_Cheese_Sandwich.jpg,Schlotzsky_s/Angus_Roast_Beef_and_Cheese_Sandwich.jpg,37,"12221 S Strangline Rd Olathe KS, 66062",66062,Schlotzsky_s,1,9137822867,$5.50,11100351,Meat,Lunch,American,Sandwich,,,tomato,cheese,pickles,sandwich,beef,angus,dijon,cheddar,sourdough,lettuce,buns,bun,roast,roasted,parmesan,mayonnaise,onions,mozzarella,,,,,,,,,,,,,,,,,,,,,
38,Animal_Style_Burger,Animal_Style_Burger.jpg,Red_Door_Woodfired_Grill,38,"8001 West 159th Street, Overland Park, KS 66223",66223,Red_Door_Woodfired_Grill,,9132763667,11.5,,meat,lunch,american,burger,,,cheese,iceberg,beef,burger,fries,cheddar,lettuce,bacon,animal,white,sauce,ketchup,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Antipasti_Board,Antipasti_Board.jpg,Ragazza_Food_and_Wine/Antipasti_Board.jpg,39,"301 Westport Rd, Kansas City, MO 64111",64111,Ragazza_Food_and_Wine,0,8169604744,,,,lunch,,,,,charcuterie,bruschetta,olives,pastrami,cheese,antipasti,antipasto,nuts,salami,board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Antipasto_Salad,Antipasto_Salad.jpg,Suteras_Shawnee/Antipasto_Salad.jpg,40,"22716 Midland Dr Shawnee KS, 66226",66226,Suteras_Shawnee,1,9136673000,$8.45,10804427,meat,lunch,american,salad,,,tomato,cheese,sausage,salad,greens,salami,antipasto,olives,mushrooms,lettuce,pepperoni,peppers,onions,mozzarella,,,,,,,,,,,,,,,,,,,,,,,,,
41,Ants_on_the_Tree,Ants_on_the_Tree.jpg,Sichuan_Dynasty/Ants_on_the_Tree.jpg,41,"7206 West 119th Street Overland Park, 66213",66213,Sichuan_Dynasty,1,9133399378,$10.99,,vegetarian,Dinner,asian,pasta,,,noodles,tree,ants,green,sprouts,the,rice,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Ants_on_the_Tree,Ants_on_the_Tree1.jpg,Sichuan_Dynasty/Ants_on_the_Tree1.jpg,42,"7206 West 119th Street Overland Park, 66213",66213,Sichuan_Dynasty,1,9133399378,$10.99,,vegetarian,Dinner,asian,misc,,,noodles,tree,ants,green,sprouts,the,rice,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Apfelstrudel_mit_Schlag,Apfelstrudel_mit_Schlag.jpg,Grunauer/Apfelstrudel_mit_Schlag.jpg,43,"101 W 22nd St, Kansas City, MO 64108",64108,Grunauer,0,8162833234,,,vegetarian,dinner,,,,,marinated,apple,strudel,apfelstrudel,mit,schlag,apples,fresh,raisins,whipped,cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Apple_Bacon_Marmalade_Burger,Apple_Bacon_Marmalade_Burger.jpg,The_Sundry/Apple_Bacon_Marmalade_Burger.jpg,45,"300 E. 39th st. kansas city, mo 64111",64111,The_Sundry,0,8168447878,,,,,,,,,apple,lettuce,bacon,burger,marmalade,bun,apples,sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Apple_Brined_Pulled_Pork_Sandwich,Apple_Brined_Pulled_Pork_Sandwich.jpg,Q39_Midtown/Apple_Brined_Pulled_Pork_Sandwich.jpg,46,"1000 W 39th St, Kansas City, MO 64111",64111,Q39_Midtown,0,8162553753,$8.00,,Meat,Dinner,American,Sandwich,,,brined,pork,sandwich,apple,buns,bun,apples,pulled,bbq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Apple_Butter_and_Brie_Sandwich,Apple_Butter_and_Brie_Sandwich.jpg,The_Brick/Apple_Butter_and_Brie_Sandwich.jpg,47,"1727 McGee St, Kansas City, MO 64108",64108,The_Brick,0,8164211634,$7.45,,vegetarian,lunch,american,sandwich,,,butter,sandwich,apple,buttered,rye,fries,apples,pickles,brie,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Apple_Fritter,Apple_Fritter.jpg,LaMar_s_Donuts/Apple_Fritter.jpg,44,"12520 Quivira Rd, Overland Park, KS 66213",66213,LaMar_s_Donuts,1,9134024426,$2.89,9858726,Vegetarian,Breakfast,Breakfast,breakfast,dessert,bakery,apple,sweet,glaze,donut,apples,donuts,glazed,fritter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Apple_Gorgonzola_Salad,Apple_Gorgonzola_Salad.jpg,Buca_di_Beppo/Apple_Gorgonzola_Salad.jpg,48,"310 W 47th St, Kansas City, MO 64112",64112,Buca_di_Beppo,0,8169316548,,,vegetarian,lunch,,,,,apple,salad,walnuts,lettuce,gorgonzola,cranberries,vinaigrette,apples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Apple_Gorgonzola_Salad,Apple_Gorgonzola_Salad1.jpg,Buca_di_Beppo/Apple_Gorgonzola_Salad1.jpg,49,"310 W 47th St, Kansas City, MO 64112",64112,Buca_di_Beppo,0,8169316548,,,vegetarian,lunch,,,,,apple,salad,walnuts,lettuce,gorgonzola,cranberries,vinaigrette,apples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Armstrong_Po_Boy_Sandwich,Armstrong_Po_Boy_Sandwich.jpg,Beignet/Armstrong_Po_Boy_Sandwich.jpg,50,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$11.50,,Meat,Lunch,American,Sandwich,,,tomato,boy,sandwich,armstrong,shrimp,lettuce,parmesan,fried,po,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Artego_Spice_Pizza,Artego_Spice_Pizza.jpg,Artego_Pizza/Artego_Spice_Pizza.jpg,51,"900 W 39th St, Kansas City, MO 64111",64111,Artego_Pizza,0,8169604787,,,meat,lunch,italian,pizza,,,cheese,pepper,jalapeno,onion,spiced,artego,sausage,salami,spice,red,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Artic_Char,Artic_Char.jpg,Voltaire/Artic_Char.jpg,52,"1617 Genessee St, Kansas City, MO 64102",64102,Voltaire,0,8164721200,,,,lunch,,,,,food,fish,salmon,fancy,char,healthy,artic,charred,pretty,capers,sauce,red,wine,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Artisanal_Cheese_and_Housemade_Charcuterie,Artisanal_Cheese_and_Housemade_Charcuterie.jpg,Voltaire/Artisanal_Cheese_and_Housemade_Charcuterie.jpg,53,"1617 Genessee St, Kansas City, MO 64102",64102,Voltaire,0,8164721200,,,vegetarian,dinner,,,,,charcuterie,cheese,housemade,house,artisanal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Asahi_Tuna_Salad,Asahi_Tuna_Salad.jpg,Friends_Sushi_and_Bento_Place/Asahi_Tuna_Salad.jpg,54,"1808 W 39th St, Kansas City, MO 64111",64111,Friends_Sushi_and_Bento_Place,0,8167536666,,,,,,,,,greens,salad,spinach,healthy,fish,tuna,sauce,asahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Asian_Chicken_Salad,Asian_Chicken_Salad.jpg,Nick_and_Jake_s/Asian_Chicken_Salad.jpg,55,"5031 Main St, Kansas City, MO 64112",64112,Nick_and_Jake_s,0,8164211111,,,Meat,lunch,,salad,,,wontons,salad,onion,spring,carrots,carrot,sesame,sriracha,crispyy,asian,crispy,vinaigrette,peanuts,chicken,noodles,sauce,red,edamame,,,,,,,,,,,,,,,,,,,,,
56,Asian_Noodles_Salad,Asian_Noodles_Salad.jpg,Fric_and_Frac/Asian_Noodles_Salad.jpg,56,"1700 W 39th St, Kansas City, MO 64111",64111,Fric_and_Frac,0,8167536102,,,vegetarian,lunch,,,,,salad,purple,carrots,nuts,cucumbers,asian,peanuts,cabbage,noodles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Asian_Pig_Wings,Asian_Pig_Wings.jpg,Gram and Dun/Asian_Pig_Wings.jpg,57,"600 Ward Pkwy Kansas City, MO 64112",64112,Gram and Dun,0,8163892900,,,Meat,dinner,,,,,cilantro,sake,glaze,pork,pig,sambol,asian,soy,wings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Asian_Pig_Wings,Asian_Pig_Wings1.jpg,Gram and Dun/Asian_Pig_Wings1.jpg,58,"600 Ward Pkwy Kansas City, MO 64112",64112,Gram and Dun,0,8163892900,,,Meat,dinner,,,,,cilantro,sake,glaze,pork,pig,sambol,asian,soy,wings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Asian_Pork_Belly_Tostadas,Asian_Pork_Belly_Tostadas.jpg,Cooper_s_Hawk/Asian_Pork_Belly_Tostadas.jpg,59,"4686 Broadway St Kansas City, MO 64112",64112,Cooper_s_Hawk,0,8165311500,,,Meat,Other,,,,,cilantro,tostadas,radish,pork,scallions,sesame,seeds,asian,sweet,chili,sauce,bbq,belly,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Asian_Pork_Belly_Tostadas1,Asian_Pork_Belly_Tostadas1.jpg,Cooper_s_Hawk/Asian_Pork_Belly_Tostadas1.jpg,60,"4686 Broadway St Kansas City, MO 64112",64112,Cooper_s_Hawk,0,8165311500,,,Meat,Other,,,,,cilantro,tostadas,sweet,pork,scallions,sesame,seeds,asian,chili,tostadas1,sauce,bbq,belly,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Asian_Sesame_Ginger_Salad,Asian_Sesame_Ginger_Salad.jpg,Muscle_Maker_Grill/Asian_Sesame_Ginger_Salad.jpg,61,"14967 W 119th St Olathe KS, 66062",66062,Muscle_Maker_Grill,1,9135385253,$10.00,11997928,Meat,Lunch,American,Salad,,,tomato,kale,salad,spinach,craisins,avocado,cucumbers,sesame,lettuce,seeds,ginger,dressing,chicken,onions,avocados,asian,,,,,,,,,,,,,,,,,,,,,,,
62,Assorted_Crostini,Assorted_Crostini.jpg,Ragazza_Food_and_Wine/Assorted_Crostini.jpg,62,"301 Westport Rd, Kansas City, MO 64111",64111,Ragazza_Food_and_Wine,0,8169604744,,,Meat,,,,,,cheese,greens,crostini,food,assorted,appetizer,beans,finger,bruschetta,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Assorted_Local_Cheese_Plate,Assorted_Local_Cheese_Plate.jpg,The_Farmhouse/Assorted_Local_Cheese_Plate.jpg,63,"4686 Broadway St Kansas City, MO 64112",64105,The_Farmhouse,0,8165696032,,,vegetarian,breakfast,,,,,seasonal,cheese,plate,assorted,walnuts,warm,accompaniments,walnut,local,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Austrian_Dip,Austrian_Dip.jpg,Grunauer/Austrian_Dip.jpg,64,"101 W 22nd St, Kansas City, MO 64108",64108,Grunauer,0,8162833234,,,Meat,dinner,,,,,sandwich,beef,jus,melted,au,slice,swiss,austrian,mayonnaise,horseradish,dip,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Avocado_Roll,Avocado_Roll.jpg,Domo/Avocado_Roll.jpg,65,"6322 Brookside Plaza, Kansas City, MO 64113",64113,Domo,0,8163336315,,,,sushi,,,,,alligator,sushi,avocado,roll,seaweed,rice,rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Avocado_Vera_Cruz_Salad,Avocado_Vera_Cruz_Salad.jpg,Eden_Alley_Vegetaria/Avocado_Vera_Cruz_Salad.jpg,66,"707 W 47th St, Kansas City, MO 64112",64112,Eden_Alley_Vegetaria,0,8165615415,,,vegetarian,lunch,,,,,tomato,brown,short,salad,greens,chickpea,vegetables,avocado,edamame,vera,rico,cruz,black,vinaigrette,chickpeas,rice,,grain,red,wine,,,,,,,,,,,,,,,,,,,
67,Awakin_with_Bacon_Pita,AwakinWithBaconPita.jpg,Pita_Pit/AwakinWithBaconPita.jpg,67,"4825 W 117th St Leawood KS, 66211",66211,Pita_Pit,1,9137016587,$5.59,12111034,Meat,Lunch,breakfast,breakfast,wrap,,cheese,hash,eggs,bacon,pita,browns,tortilla,egg,awakin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Bacon_Breakfast_Burrito,Bacon_Breakfast_Burrito.jpg,Crows_Coffee/Bacon_Breakfast_Burrito.jpg,70,"304 E 51st St, Kansas City, MO 64112",64112,Crows_Coffee,0,8168207502,$6.25,,Meat,Breakfast,"Mexican, Breakfast",burrito,breakfast,,cheese,burrito,eggs,bacon,breakfast,tortilla,egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Bacon_Deviled_Eggs,Bacon_Deviled_Eggs.jpg,Brady_s_Public_House/Bacon_Deviled_Eggs.jpg,68,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$6.00,,Meat,Dinner,American,Appetizer,,,mustard,deviled,eggs,bacon,pickles,egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Bacon_Grilled_Cheese_Sandwich,Bacon_Grilled_Cheese_Sandwich.jpg,Schlotzsky_s/Bacon_Grilled_Cheese_Sandwich.jpg,69,"12221 S Strangline Rd Olathe KS, 66062",66062,Schlotzsky_s,1,9137822867,$8.00,11100412,Meat,lunch,American,Sandwich,,,tomato,cheese,sandwich,pretzels,provolone,bacon,basil,parmesan,swiss,grilled,rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Bacon_Sausage,Bacon_Sausage.jpg,Wiener_Kitchen/Bacon_Sausage.jpg,71,"9645 W 87th St Overland Park, KS 66212",66212,Wiener_Kitchen,0,9132968023,8,,meat,"breakfast, lunch",German,hot dog,,,gravy,bacon,sausage,buns,hot,bun,sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
